Model,Time,Accuracy,Recall,Precision,F1,Roc_auc,Log_loss,Tn,Fp,Fn,Tp
mlp_binary,201.61794759999975,0.9996200656424402,0.9993613216384228,0.9989501610225999,0.9991556990315371,0.9999783956188377,0.0056444170050345775,242680,74,45,70413
mlp_multi,265.3383545000106,0.9995594038542585,0.802414620766049,0.9057341546936684,0.8286485197180301,,,,,,
xgb_multi,120.494117000002,0.9999584945659808,0.9754753875568057,0.9928079436352177,0.9821302676105707,,,,,,
xgb_bin,17.324341599996842,0.9999680727430622,0.9998864571801641,0.9999716118775904,0.9999290327159179,0.9999999615293799,0.00013689076631009234,242752,2,8,70450
xgb_bin_reduced,12.288867399998708,0.999971265468756,0.9998864571801641,0.999985805737321,0.999936128991051,0.9999999613539818,0.00013449617596576234,242753,1,8,70450
iso_forest,140.03714030000265,0.5678294573643411,0.4273609810099634,0.24064735264735265,0.30791019669398667,,,147740,95014,40347,30111
iso_forest_reduced,131.65655469999183,0.5660670727813749,0.42149933293593345,0.23786753810542166,0.3041129697044171,,,147601,95153,40760,29698
